number,person,word,label
896, 0.0, lol, 1
897, 0.4, couple, 1
898, 0.2857, time, 1
899, 1.0, have, 1
900, 0.0, lol, 1
901, 0.0, Haha, 1
902, 0.0, nah, 1
903, 0.3333, ok, 1
904, 0.0, Kinda, 1
905, 0.0, quez, 1
906, 0.2, yea, 1
907, 0.25, fun, 1
908, 0.25, bout, 1
909, 0.0, New, 1
910, 0.25, year, 1
911, 0.25, bout, 1
912, 0.375, be, 1
913, 0.2353, buzz, 1
914, 0.0, Lol, 1
915, 0.25, year, 1
916, 1.0, wit, 1
917, 1.0, girl, 1
918, 0.375, y, 1
919, 0.2, like, 1
920, 0.0, Haha, 1
921, 0.0, yep, 1
922, 0.0, dont, 1
923, 0.0, wana, 1
924, 0.4, c, 1
925, 1.0, guy, 1
926, 0.375, be, 1
927, 0.0, Haha, 1
928, 0.0, thats, 1
929, 0.3333, ok, 1
930, 0.0, nah, 1
931, 0.25, find, 1
932, 0.25, rite, 1
933, 1.0, guy, 1
934, 1.0, guy, 1
935, 0.2667, age, 1
936, 0.375, be, 1
937, 1.0, dork, 1
938, 0.0, callin, 1
939, 0.0, icky, 1
940, 0.375, be, 1
941, 0.0, lol, 1
942, 0.2, like, 1
943, 0.0, touchin, 1
944, 0.375, y, 1
945, 0.0, wat, 1
946, 0.3333, Pie, 1
947, 0.7143, Wats, 1
948, 0.3333, ur, 1
949, 0.0, lol, 1
950, 0.2, like, 1
951, 0.7778, rice, 1
952, 1.0, Shrimp, 1
953, 0.5, n, 1
954, 0.0, chiken, 1
955, 0.0, depend, 1
956, 0.25, guess, 1
957, 0.0, dunno, 1
958, 0.375, be, 1
959, 0.0, wantin, 1
960, 0.0, dont, 1
961, 0.375, be, 1
962, 1.0, slut, 1
963, 0.2, think, 1
964, 0.375, be, 1
965, 0.3333, ok, 1
966, 0.0, mebbe, 1
967, 1.0, don, 1
968, 0.0, lol, 1
969, 0.0, wat, 1
970, 0.2105, mean, 1
971, 0.0, haha, 1
972, 0.2, yea, 1
973, 0.3333, id, 1
974, 0.7692, tie, 1
975, 0.0, haah, 1
976, 0.0, Handcuf, 1
977, 0.0, lol, 1
978, 0.0, lol, 1
979, 0.0, ty, 1
980, 0.0, wat, 1
981, 0.2222, do, 1
982, 0.3529, go, 1
983, 0.7692, school, 1
984, 0.0, haah, 1
985, 0.0, dont, 1
986, 0.2222, do, 1
987, 0.4615, ne, 1
988, 0.9091, thing, 1
989, 0.0, wat, 1
990, 0.0, Taht, 1
991, 0.375, be, 1
992, 0.0, kewl, 1
993, 1.0, job, 1
994, 0.0, kewl, 1
995, 0.0, struff, 1
996, 0.0, ty, 1
997, 0.1739, get, 1
998, 0.7692, work, 1
999, 0.0, Lol, 1
1000, 0.3333, ok, 1
1001, 0.375, be, 1
1002, 0.0, jessie, 1
1003, 0.0, brithday, 1
1004, 0.375, be, 1
1005, 0.0, to-14-1992, 1
1006, 0.6087, grade, 1
1007, 0.2, like, 1
1008, 0.25, science, 1
1009, 0.0, jessie, 1
1010, 0.3333, mccarthy, 1
1011, 1.0, Singer, 1
1012, 0.8421, pop, 1
1013, 0.0, birtheday, 1
1014, 0.375, k, 1
1015, 0.0, Tats, 1
1016, 0.3333, ok, 1
